Case,Mode,Period,UX,UY,UZ,Sum UX,Sum UY,Sum UZ,RX,RY,RZ,Sum RX,Sum RY,Sum RZ
,,sec,,,,,,,,,,,,
Modal_Eigen,1,1.329,0.8752,0,0,0.8752,0,0,0,0.4682,0,0,0.4682,0
Modal_Eigen,2,1.297,0,0.8771,0,0.8752,0.8771,0,0.4652,0,0,0.4652,0.4682,0
Modal_Eigen,3,1.208,0,0,0,0.8752,0.8771,0,0,0,0.8798,0.4652,0.4682,0.8798
Modal_Eigen,4,0.404,0.0907,0,0,0.9659,0.8771,0,0,0.4713,0,0.4652,0.9395,0.8798
Modal_Eigen,5,0.396,0,0.0895,0,0.9659,0.9666,0,0.4755,0,0,0.9406,0.9395,0.8798
Modal_Eigen,6,0.37,0,0,0,0.9659,0.9666,0,0,0,0.0879,0.9406,0.9395,0.9677
Modal_Eigen,7,0.208,0.0252,0,0,0.9911,0.9666,0,0,0.0325,0,0.9406,0.972,0.9677
Modal_Eigen,8,0.205,0,0.0247,0,0.9911,0.9913,0,0.0315,0,0,0.9721,0.972,0.9677
Modal_Eigen,9,0.194,0,0,0,0.9911,0.9913,0,0,0,0.0239,0.9721,0.972,0.9916
Modal_Eigen,10,0.127,0.0075,0,0,0.9985,0.9913,0,0,0.0253,0,0.9721,0.9972,0.9916
Modal_Eigen,11,0.126,0,0.0073,0,0.9985,0.9986,0,0.0252,0,0,0.9973,0.9972,0.9916
Modal_Eigen,12,0.12,0,0,0,0.9985,0.9986,0,0,0,0.007,0.9973,0.9972,0.9986
Modal_Eigen,13,0.088,0.0015,0,0,1,0.9986,0,0,0.0028,0,0.9973,1,0.9986
Modal_Eigen,14,0.088,0,0.0014,0,1,1,0,0.0027,0,0,1,1,0.9986
Modal_Eigen,15,0.085,0,0,0,1,1,0,0,0,0.0014,1,1,1
